borough,neighborhood,latitude,longitude,studio_2021,br_1_2021,br_2_2021,no_of_school,no_of_hospital,no_of_restaurant,no_of_bank,criminal_rate,population_2020
Queens,Laurelton,40.6678838966,-73.7402560799,,,,20,0,24,2, 745,26088
Queens,Lefrak City,40.7360745708,-73.8625247141,,,,11,1,21,4, 3380,91510
Manhattan,Lenox Hill,40.7681126583,-73.9588596881,,,,25,41,19,20, 4030,28509
Staten Island,Lighthouse Hill,40.5765062938,-74.1379266377,,,,0,0,0,0, 93,8205
Manhattan,Lincoln Square,40.7735288894,-73.98533777,,,,49,13,47,42, 4300,35348
Queens,Lindenwood,40.6639184193,-73.849637824,,,,16,0,34,6, 688,13660
Manhattan,Little Italy,40.719323794,-73.9973046721,,,,8,0,4,11, 8563,7762
Queens,Little Neck,40.7708261928,-73.7388977558,,,,38,0,50,7, 169,12631
Queens,Long Island City,40.7502173461,-73.9392022392,,,,50,3,50,21, 2753,16108
Bronx,Longwood,40.8150990455,-73.8957882009,,,,38,1,36,4, 4532,40289
Manhattan,Lower East Side,40.7178067489,-73.98089032,,,,33,2,14,7, 7800,49149
Brooklyn,Madison,40.6093777011,-73.9484151533,,,,26,0,31,0, 1080,41465
Queens,Malba,40.7906015567,-73.8266775714,,,,10,0,16,0, 219,18693
Brooklyn,Manhattan Beach,40.5779135031,-73.9435372289,,,,37,1,31,0, 348,23028
Brooklyn,Manhattan Terrace,40.6144325134,-73.9574384056,,,,50,7,50,17, 1541,51973
Manhattan,Manhattan Valley,40.7973070417,-73.9642861774,,,,45,5,47,12, 4422,25875
Manhattan,Manhattanville,40.8169344295,-73.9573853935,,,,34,1,37,9, 4934,22183
Staten Island,Manor Heights,40.6018095763,-74.1205939972,,,,5,0,12,0, 375,8205
Brooklyn,Mapleton,40.619768,-73.980701,,,,39,1,41,10, 1390,19568
Manhattan,Marble Hill,40.8765507788,-73.9106596586,,,,50,5,50,6, 3070,11403
Brooklyn,Marine Park,40.6097477799,-73.9313440411,,,,27,0,50,4, 893,15651
Staten Island,Mariner's Harbor,40.6325463905,-74.1500853705,,,,21,0,48,1, 1099,11164
Queens,Maspeth,40.7254273741,-73.8962171363,,,,16,0,50,8, 842,43257
Bronx,Melrose,40.8197543706,-73.9094216076,,,,50,3,50,13, 8129,42651
Queens,Middle Village,40.7164145112,-73.881143192,,,,23,0,45,7, 619,34474
Staten Island,Midland Beach,40.5735269057,-74.093482663,,,,5,0,34,4, 282,14541
Manhattan,Midtown,40.7546911027,-73.9816688273,,,,43,26,36,46, 12139,19568
Manhattan,Midtown South,40.7485096643,-73.9887131329,,,,16,5,12,23, 12027,16607
Brooklyn,Midwood,40.6255958987,-73.9575952349,,,,32,2,36,10, 1340,52891
Brooklyn,Mill Basin,40.6159742396,-73.9151539155,,,,1,0,4,0, 1077,15651
Brooklyn,Mill Island,40.6063364217,-73.9081857178,,,,2,0,20,0, 129,48356
Manhattan,Morningside Heights,40.8079997382,-73.9638962791,,,,29,2,16,5, 3414,38865
Bronx,Morris Heights,40.8478979261,-73.9196715912,,,,41,5,40,3, 5332,27341
Bronx,Morris Park,40.8475490635,-73.8504017803,,,,12,1,8,1, 1405,25077
Bronx,Morrisania,40.8235919859,-73.9015064894,,,,20,4,22,6, 7406,37607
Bronx,Mott Haven,40.8062387494,-73.9160998749,,,,49,4,42,1, 4338,28859
Bronx,Mount Eden,40.8438261767,-73.9165555196,,,,9,0,6,0, 6942,49651
Bronx,Mount Hope,40.8488416072,-73.9082993088,,,,13,1,15,0, 7340,49099
Manhattan,Murray Hill,40.7483030773,-73.9783320792,,,,23,32,29,23, 8577,31760
Queens,Murray Hill,40.7641261226,-73.8127626914,,,,45,2,45,18, 1061,57387
Queens,Neponsit,40.5720367302,-73.8575467241,,,,10,0,12,0, 93,21202
Staten Island,New Brighton,40.6406145591,-74.0870165052,,,,6,0,15,0, 2052,10274
Staten Island,New Dorp,40.5725723182,-74.1164794361,,,,29,4,50,12, 786,14541
Staten Island,New Dorp Beach,40.5642554931,-74.1043270747,,,,2,0,29,0, 531,14541
Brooklyn,New Lots,40.6627442797,-73.8851177638,,,,37,0,35,1, 4182,40016
Staten Island,New Springville,40.5942523792,-74.1649603133,,,,10,0,25,4, 381,10717
Manhattan,Noho,40.7232590189,-73.9884336802,,,,0,0,0,0, 9915,5532
Manhattan,NoLiTa,40.722386,-73.995149,,,,1,0,0,0, 9255,4843
Manhattan,NoMad,40.744109,-73.986659,,,,0,0,0,1, 10476,20015
Queens,North Corona,40.754070999,-73.8575179068,,,,10,0,29,3, 2820,43434
Bronx,North Riverdale,40.9085428295,-73.9045305491,,,,35,1,50,4, 334,23963
Brooklyn,North Side,40.7148229065,-73.9588085759,,,,28,0,27,3, 3122,61391
Bronx,Norwood,40.877224156,-73.8793907396,,,,50,5,50,10, 3401,43466
Queens,Oakland Gardens,40.7456185714,-73.7549497623,,,,21,0,50,5, 520,25249
Staten Island,Oakwood,40.5584622433,-74.1215659377,,,,5,0,16,0, 327,11194
Brooklyn,Ocean Hill,40.6784025548,-73.9130683179,,,,46,2,48,2, 4995,32625
Brooklyn,Ocean Parkway,40.6130597667,-73.9683667804,,,,30,0,27,3, 1347,44840
Staten Island,Old Town,40.5963289138,-74.0875111801,,,,8,0,23,1, 657,8589
Bronx,Olinville,40.8713707819,-73.8633236165,,,,26,1,33,6, 3329,30673
Queens,Ozone Park,40.6807084683,-73.8432026617,,,,34,0,49,5, 1960,23518
Brooklyn,Paerdegat Basin,40.6313175504,-73.902334743,,,,3,0,25,0, 1092,22191
Staten Island,Park Hill,40.6091904443,-74.0801573494,,,,6,0,22,0, 1173,8503
Brooklyn,Park Slope,40.6723205227,-73.9770503018,,,,35,7,31,6, 1956,57405
Manhattan,Park/Fifth Ave. to 79th St.,40.773673,-73.955823,,,,0,0,2,0, 4340,8239
Bronx,Parkchester,40.8379378223,-73.8560031054,,,,50,1,48,18, 3166,33602
Bronx,Pelham Bay,40.8506414094,-73.8320737824,,,,6,1,8,2, 922,9820
Bronx,Pelham Gardens,40.8629656248,-73.8416119483,,,,9,0,19,0, 1314,29402
Bronx,Pelham Parkway,40.8574134981,-73.8547556402,,,,45,4,43,7, 1642,32425
Staten Island,Pleasant Plains,40.5246993761,-74.2198310662,,,,5,0,21,5, 133,6704
Queens,Pomonok,40.7349361808,-73.8048612004,,,,34,0,21,6, 1396,17834
Staten Island,Port Ivory,40.6396829785,-74.1746453299,,,,1,0,5,0, 355,3918
Bronx,Port Morris,40.8016636278,-73.9132213939,,,,1,0,32,0, 1791,28859
Staten Island,Port Richmond,40.6336693055,-74.129434268,,,,23,0,50,8, 1411,22609
Staten Island,Prince's Bay,40.5262640673,-74.2015255646,,,,2,1,11,2, 138,10133
Brooklyn,Prospect Heights,40.6768222623,-73.9648592426,,,,50,4,50,12, 2625,23515
Brooklyn,Prospect Lefferts Gardens,40.6584200175,-73.9548986708,,,,48,11,50,9, 4351,24756
Brooklyn,Prospect Park South,40.6470086032,-73.9626131672,,,,42,0,13,9, 3886,15
Queens,Queens Village,40.7188930922,-73.7387148458,,,,26,0,50,7, 1235,54345
Queens,Queensboro Hill,40.7445723093,-73.8258091511,,,,31,9,50,6, 815,23638
Queens,Queensbridge,40.7560912971,-73.9456307033,,,,21,4,18,2, 2414,16477
Staten Island,Randall Manor,40.6356300068,-74.0980506237,,,,5,0,19,0, 582,10239
Queens,Ravenswood,40.7617045261,-73.9315750607,,,,38,0,39,18, 2921,16477
Brooklyn,Red Hook,40.6762532303,-74.0127589747,,,,24,2,49,1, 865,14791
Queens,Rego Park,40.7289740948,-73.8578268691,,,,41,0,34,16, 2145,30741
Brooklyn,Remsen Village,40.6521174518,-73.9166533198,,,,21,3,44,3, 2877,19557
Queens,Richmond Hill,40.6979473147,-73.8318332145,,,,16,0,31,2, 1864,34100
Staten Island,Richmond Town,40.5696059428,-74.1340572986,,,,6,0,14,3, 239,11194
Staten Island,Richmond Valley,40.5195414575,-74.2295708063,,,,2,1,24,3, 116,34058
Queens,Ridgewood,40.7083231561,-73.9014351756,,,,33,1,50,12, 2254,66402
Bronx,Riverdale,40.8908344939,-73.9125854611,,,,12,0,30,5, 574,47927
Manhattan,Riverside Dr./West End Ave.,40.836572,-73.948488,,,,49,30,40,8, 3511,472
Queens,Rochdale,40.6752113959,-73.7725878762,,,,21,0,50,2, 2179,16441
Queens,Rockaway Beach,40.5828016968,-73.8223612109,,,,21,0,50,2, 722,13789
Queens,Rockaway Park,40.5803429565,-73.8415337023,,,,2,1,37,4, 392,6033
Manhattan,Roosevelt Island,40.7621596058,-73.9491676923,,,,36,7,36,3, 2038,28509
Staten Island,Rosebank,40.6153049465,-74.0698052672,,,,12,0,48,2, 570,8503
Queens,Rosedale,40.6598164334,-73.7352607943,,,,9,0,40,4, 738,27101
Staten Island,Rossville,40.5494040065,-74.2157285111,,,,2,0,22,1, 214,15341
Queens,Roxbury,40.5673758896,-73.8921376023,,,,1,0,4,0, 12,2247
Brooklyn,Rugby,40.6555723133,-73.9268821262,,,,42,1,0,5, 3630,21381
Staten Island,Sandy Ground,40.5411399221,-74.2177663607,,,,0,0,0,0, 273,782
Bronx,Schuylerville,40.8265795169,-73.8262027599,,,,33,0,46,6, 1512,24085
Brooklyn,Sea Gate,40.5763753789,-74.007873112,,,,6,0,11,0, 917,24758
Brooklyn,Sheepshead Bay,40.5868901268,-73.9431864048,,,,50,0,50,11, 1144,23028
Staten Island,Shore Acres,40.6097193408,-74.0666776606,,,,0,0,6,0, 458,8503
Staten Island,Silver Lake,40.6191931079,-74.0962902924,,,,22,0,15,2, 305,12337
Manhattan,Soho,40.7221838413,-74.0006566696,,,,1,0,1,0, 6777,7762
Queens,Somerville,40.5977106157,-73.7966475084,,,,0,0,0,0, 858,13113
Bronx,Soundview,40.8210121979,-73.8657460955,,,,44,2,50,3, 3227,92990
Staten Island,South Beach,40.5802474135,-74.0795529254,,,,6,10,6,1, 86,9064
Queens,South Jamaica,40.6969112538,-73.7904261314,,,,20,0,37,2, 2039,44401
Queens,South Ozone Park,40.6685495777,-73.8098647865,,,,23,0,50,3, 988,79540
Brooklyn,South Side,40.7108614727,-73.9580009515,,,,1,0,1,0, 3423,64728
Brooklyn,South Slope - Greenwood Heights,40.660932,-73.987796,,,,10,0,5,0, 1505,11811
Queens,Springfield Gardens,40.6662304904,-73.7604209268,,,,20,1,29,0, 1048,39545
Bronx,Spuyten Duyvil,40.8813949773,-73.9171904821,,,,20,3,24,0, 1100,23963
Queens,St. Albans,40.6944453852,-73.7586760373,,,,24,1,50,2, 987,51816
Staten Island,St. George,40.644981571,-74.0793531251,,,,23,3,50,8, 1670,10274
Staten Island,Stapleton,40.6269276254,-74.0779019266,,,,29,13,49,3, 1275,6342
Brooklyn,Starrett City,40.6475890523,-73.8793697005,,,,11,0,26,4, 1091,17038
Queens,Steinway,40.7759230156,-73.9022896039,,,,27,0,35,2, 1054,25112
Manhattan,Stuyvesant Town,40.7309995548,-73.9740517047,,,,30,1,32,1, 3169,22512
Queens,Sunnyside,40.7401762835,-73.9269161756,,,,35,0,48,8, 1614,52278
Staten Island,Sunnyside,40.6127601576,-74.0971255218,,,,14,1,15,0, 386,38280
Queens,Sunnyside Gardens,40.7456518061,-73.9181928643,,,,14,0,13,7, 2001,7031
Brooklyn,Sunset Park,40.6451029493,-74.0103161853,,,,50,8,50,20, 3300,79113
Manhattan,Sutton Place,40.7602803313,-73.9635561409,,,,24,10,31,41, 4390,31130
Manhattan,Theater District,40.759043,-73.984464,,,,5,1,5,7, 10759,17497
Bronx,Throgs Neck,40.815109258,-73.8163500216,,,,10,0,37,2, 571,24085
Staten Island,Todt Hill,40.5970685181,-74.111328818,,,,3,0,0,0, 80,8205
Staten Island,Tompkinsville,40.6373160671,-74.0805535179,,,,0,0,3,0, 1915,6342
Staten Island,Tottenville,40.5053337612,-74.2465693424,,,,7,0,29,3, 392,8044
Staten Island,Travis,40.586313751,-74.1907371754,,,,4,0,15,0, 96,10717
Manhattan,Tribeca,40.7215219674,-74.0106832856,,,,43,1,37,33, 3956,12695
Manhattan,Tudor City,40.7469174107,-73.9712192872,,,,8,3,20,13, 3896,15846
Manhattan,Turtle Bay,40.7520423695,-73.9677082458,,,,27,0,11,17, 3347,14827
Manhattan,Two Bridges,40.711727,-73.992555,,,,7,0,10,10, 5842,19674
Bronx,Unionport,40.8297742979,-73.8505352445,,,,13,0,20,0, 2420,34584
Bronx,University Heights,40.8557270772,-73.9104159619,,,,50,2,50,14, 6343,50610
Manhattan,Upper East Side,40.7756385733,-73.9605076314,,,,50,16,50,50, 3808,130246
Manhattan,Upper West Side,40.7876579985,-73.9770592363,,,,50,4,50,24, 3337,101767
Queens,Utopia,40.7335002543,-73.7967167803,,,,27,6,20,3, 620,5069
Bronx,Van Cortlandt Village,40.883644,-73.894275,,,,9,0,7,0, 1758,17888
Bronx,Van Nest,40.8436084712,-73.8662991808,,,,15,1,31,2, 2453,15245
Brooklyn,Vinegar Hill,40.7033214988,-73.9811160359,,,,20,0,17,0, 1734,63378
Bronx,Wakefield,40.8947051766,-73.8472005205,,,,24,1,50,7, 2675,47657
Manhattan,Washington Heights,40.8519025256,-73.9369002799,,,,50,2,50,16, 4464,143879
Brooklyn,Weeksville,40.675039865,-73.9305310882,,,,36,3,29,5, 5263,45364
Staten Island,West Brighton,40.6318789265,-74.1071817827,,,,20,7,50,10, 681,12337
Bronx,West Farms,40.8394750567,-73.8777447491,,,,28,0,26,0, 4474,22147
Manhattan,West Village,40.7344339357,-74.0061799813,,,,15,1,13,2, 4905,35011
Bronx,Westchester Square,40.8406194964,-73.842194076,,,,28,9,38,2, 1493,17376
Staten Island,Westerleigh,40.6210904728,-74.1330414395,,,,7,0,25,9, 515,15729
Queens,Whitestone,40.781290766,-73.8142021661,,,,25,0,50,10, 450,28408
Bronx,Williamsbridge,40.8810388782,-73.8574464297,,,,48,2,50,2, 3706,30673
Brooklyn,Williamsburg,40.7071443934,-73.9581152922,,,,50,1,50,23, 2999,64444
Staten Island,Willowbrook,40.6037069263,-74.1320844748,,,,13,2,20,0, 348,10717
Brooklyn,Windsor Terrace,40.6569458358,-73.9800734043,,,,49,0,46,0, 702,11811
Brooklyn,Wingate,40.6609465619,-73.9371868056,,,,34,7,42,3, 3793,24756
Queens,Woodhaven,40.6898868792,-73.8581104655,,,,35,1,50,6, 1781,41948
Bronx,Woodlawn,40.8982726121,-73.8673149681,,,,9,5,45,8, 1023,15716
Staten Island,Woodrow,40.5419676229,-74.2052458248,,,,5,0,11,2, 262,10133
Queens,Woodside,40.7463490886,-73.9018416684,,,,50,2,50,19, 2558,53188
Bronx,Woodstock,40.817445,73.903243,,,,1,0,6,0, 6120,10729
Manhattan,Yorkville,40.7759298499,-73.9471178447,,,,40,6,15,10, 3796,42023
